pitch_type,release_speed,release_pos_x,release_pos_z,player_name,zone,p_throws,bb_type,game_year,pfx_x,pfx_z,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,release_pos_y,height,weight,age,weight_(oz),circumference_(in),avg_seam_height,avg_ccor,avg_ds
KC,78.1,-1.4733,5.4418,Bryce Harper,8.0,R,fly_ball,2016,0.583925,-0.36186666700000003,-0.02,1.83,1.55,-113.85,-0.3,6.62,24.0,-37.16,3.14,1.52,368.0,103.4,37.788000000000004,76.638,2537.0,5.525,54.9716,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FT,92.3,-0.903,5.7256,Bryce Harper,4.0,R,fly_ball,2017,-1.3398,0.9179999999999999,-0.5318,2.0311,3.7401,-134.0168,-5.4741,-16.6649,27.8158,-20.3836,2.9743,1.2777,405.0,103.2,28.233,91.444,2237.0,5.803,54.7008,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
FF,90.7,-1.6665,5.1104,Bryce Harper,5.0,R,fly_ball,2017,-0.4195,0.8876,-0.1801,2.3094,4.5727,-131.8268,-2.9704,-5.7675,25.8872,-21.4982,3.17,1.49,388.0,103.2,34.406,90.51100000000001,2461.0,6.063,54.4369,75,220,25,5.104863,9.08,0.038,0.476463,12926.0
CH,85.2,-2.0001,6.5256,Bryce Harper,4.0,R,line_drive,2016,-0.72285,1.028466667,-0.602,2.623,4.118,-123.98100000000001,-4.632,-6.672999999999999,23.136,-23.041999999999998,3.12,1.51,389.0,103.1,20.238,86.45299999999996,1443.0,6.787999999999999,53.7147,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
FF,92.5,-0.5123,6.2036,Bryce Harper,9.0,R,line_drive,2015,-0.663008333,1.5444666669999998,0.29100000000000004,1.9280000000000002,3.5,-134.517,-7.496,-7.028,28.61,-14.884,3.18,1.48,396.0,103.0,28.151999999999997,91.685,2216.0,5.978,54.521,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
SL,84.5,-1.5904,4.7861,Bryce Harper,9.0,R,fly_ball,2016,0.322291667,0.674433333,0.3,1.97,3.83,-122.96,-1.75,5.07,20.38,-26.94,3.18,1.5,413.0,103.0,30.0,81.21644999999998,2213.3076923076924,6.006450000000001,54.5098,75,220,25,5.122499999999999,9.079,0.03843200000000002,0.4941000000000001,12926.4
SI,95.4,-1.2862,6.4307,Bryce Harper,1.0,R,line_drive,2015,-1.528625,0.6859,-0.6559999999999999,2.7960000000000003,4.9060000000000015,-138.755,-4.288,-19.649,30.235,-25.47300000000001,3.2,1.45,411.0,102.9,21.648000000000003,95.041,2142.0,6.2120000000000015,54.2877,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FT,94.0,-1.8118,6.1119,Bryce Harper,2.0,R,fly_ball,2015,-1.283691667,1.178966667,0.18,2.93,7.13,-136.56,-4.72,-15.46,33.46,-19.35,3.19,1.46,384.0,102.9,33.777,91.316,2074.0,5.162999999999999,55.3358,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FT,91.2,-2.2302,5.7851,Bryce Harper,8.0,R,fly_ball,2015,-1.286475,0.594166667,0.2,1.827,8.113,-132.535,-4.68,-14.86,26.874000000000002,-27.175,3.18,1.41,394.0,102.9,29.36,90.182,2006.0,5.7479999999999976,54.7515,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
FF,92.2,-2.2827,5.9303,Bryce Harper,2.0,R,fly_ball,2015,-0.907941667,1.1259333329999999,0.028999999999999998,2.875,7.57,-134.025,-3.4619999999999997,-10.263,26.287,-20.238,3.17,1.45,396.0,102.8,32.736999999999995,90.985,2415.0,5.455,55.0439,75,220,25,5.120124999999999,9.107916666666666,0.040501666666666665,0.4913333333333332,12740.875
